'the, national, security, interests, of', 12.399518955784124
'my, question, for, you, is', 12.399518955784124
'on, behalf, of, a, grateful', 12.399518955784124
'it, easier, for, them, to', 12.399518955784124
'in, a, better, position, to', 12.399518955784124
'a, message, to, the, world', 12.399518955784124
'able, to, make, sure, that', 12.399518955784124
'trillion, over, the, next, decade', 12.399518955784124
'and, we, cant, afford, to', 12.399518955784124
'its, good, for, our, economy', 12.399518955784124
'number, one, in, the, nation', 12.399518955784124
'going, to, get, this, done', 12.399518955784124
'of, our, men, and, women', 11.779543007994917
'men, and, women, in, uniform', 11.710656791573895
'that, theres, going, to, be', 11.57288435873185
'thank, you, mr, president, i', 11.57288435873185
'want, to, thank, all, the', 11.57288435873185
'the, house, and, the, senate', 11.57288435873185
'we, need, to, make, sure', 11.57288435873185
'in, the, united, states, of', 11.497735758999823
'its, the, right, thing, to', 11.469555034100315
'i, think, its, important, for', 11.407557439321394
'were, going, to, do, everything', 11.159567060205712
'the, american, people, i, want', 11.159567060205712
'thank, you, so, much, everybody', 11.159567060205712
'thats, what, we, should, be', 11.159567060205712
'is, one, of, the, reasons', 11.159567060205712
'mr, president, my, name, is', 11.159567060205712
'that, im, going, to, take', 11.159567060205712
'im, going, to, make, sure', 11.159567060205712
'how, are, we, going, to', 11.159567060205712
'the, israelis, and, the, palestinians', 11.159567060205712
'every, step, of, the, way', 11.159567060205712
'united, states, and, our, allies', 11.159567060205712
'all, around, the, world, and', 10.746249761679575
'to, make, sure, that, our', 10.746249761679575
'let, me, begin, by, thanking', 10.746249761679575
'the, united, states, and, the', 10.682662484983245
'behalf, of, the, american, people', 10.62815910495782
'are, going, to, continue, to', 10.539591112416506
'i, want, to, make, sure', 10.332932463153439
'here, in, the, united, states', 10.008183157168615
'the, united, states, or, the', 9.919615164627299
'to, thank, you, and, the', 9.919615164627299
'we, see, the, strength, of', 9.919615164627299
'a, chance, to, talk, to', 9.919615164627299
'i, thank, you, for, the', 9.919615164627299
'since, the, day, i, took', 9.919615164627299
'both, at, home, and, abroad', 9.919615164627299
'is, the, time, for, all', 9.919615164627299
'the, american, people, and, to', 9.919615164627299
'states, of, america, and, we', 9.919615164627299
'do, everything, i, can, to', 9.919615164627299
'years, in, the, making, and', 9.919615164627299
'joint, chiefs, of, staff, and', 9.919615164627299
'be, able, to, go, to', 9.919615164627299
'to, obtain, a, nuclear, weapon', 9.919615164627299
